   0.00000000E+00   0.10000000E-02   0.10000000E-02   0.10000000E-02
   0.50000000E-03   0.99552029E-03   0.99552029E-03   0.10004976E-02
   0.10000000E-02   0.99108650E-03   0.99108650E-03   0.10009904E-02
   0.15000000E-02   0.98669753E-03   0.98669753E-03   0.10014783E-02
   0.20000000E-02   0.98235230E-03   0.98235230E-03   0.10019612E-02
   0.25000000E-02   0.97804974E-03   0.97804974E-03   0.10024392E-02
   0.30000000E-02   0.97378881E-03   0.97378881E-03   0.10029120E-02
   0.35000000E-02   0.96956850E-03   0.96956850E-03   0.10033797E-02
   0.40000000E-02   0.96538780E-03   0.96538780E-03   0.10038422E-02
   0.45000000E-02   0.96124575E-03   0.96124575E-03   0.10042995E-02
   0.50000000E-02   0.95714137E-03   0.95714137E-03   0.10047515E-02
   0.55000000E-02   0.95307375E-03   0.95307375E-03   0.10051981E-02
   0.60000000E-02   0.94904195E-03   0.94904195E-03   0.10056394E-02
